,Name,Position,Height,Weight,Age in 2013
235,Matt Bonner,Forward,82,235,33
236,Ryan Anderson,Forward,82,240,25
237,Anthony Davis,Forward,82,220,20
238,Jon Leuer,Forward,82,228,24
239,Greg Smith,Forward,82,250,22
240,Hedo Turkoglu,Forward,82,220,34
241,Kyle O`Quinn,Forward,82,240,23
242,Rashard Lewis,Forward,82,230,34
243,Michael Beasley,Forward,82,235,24
244,Tyrus Thomas,Forward,82,225,27
245,Josh McRoberts,Forward,82,240,26
246,Al Horford,Forward,82,245,27
247,Gustavo Ayon,Forward,82,250,28
248,Pero Antic,Forward,82,260,31
249,Ersan Ilyasova,Forward,82,235,26
250,Jonas Jerebko,Forward,82,231,26
251,Earl Clark,Forward,82,225,25
252,Vladimir Radmanovic,Forward,82,235,32
253,Erik Murphy,Forward,82,230,22
254,Steve Novak,Forward,82,240,30
255,Amare Stoudemire,Forward,82,240,30
256,Jeremy Tyler,Forward,82,260,22
257,James Johnson,Forward,81,248,26
258,Travis Outlaw,Forward,81,207,29
259,Carl Landry,Forward,81,248,30
260,Patrick Patterson,Forward,81,235,24
261,Marcus Morris,Forward,81,235,24
262,Alex Oriakhi,Forward,81,255,23
263,Shawne Williams,Forward,81,230,27
264,Antawn Jamison,Forward,81,235,37
265,Brandon Davies,Forward,81,235,22
266,David Lee,Forward,81,240,30
267,Jeremy Evans,Forward,81,196,25
268,Marvin Williams,Forward,81,240,27
269,Victor Claver,Forward,81,235,25
270,Dorell Wright,Forward,81,205,27
271,Kevin Durant,Forward,81,230,24
272,Bojan Dubljevic,Forward,81,240,21
273,Corey Brewer,Forward,81,188,27
274,Quincy Miller,Forward,81,210,20
275,J.J. Hickson,Forward,81,242,25
276,Jeff Ayres,Forward,81,240,26
277,Livio Jean-Charles,Forward,81,217,19
278,Lou Amundson,Forward,81,225,30
279,Arinze Onuaku,Forward,81,261,26
280,Al-Farouq Aminu,Forward,81,215,22
281,Zach Randolph,Forward,81,260,32
282,Tayshaun Prince,Forward,81,215,33
283,Willie Reed,Forward,81,207,23
284,Robert Covington,Forward,81,204,22
285,Chandler Parsons,Forward,81,200,24
286,Omri Casspi,Forward,81,225,25
287,Terrence Jones,Forward,81,252,21
288,Devin Ebanks,Forward,81,215,23
289,Otto Porter,Forward,81,200,20
290,Al Harrington,Forward,81,250,33
291,Andrew Nicholson,Forward,81,250,23
292,Glen Davis,Forward,81,289,27
293,Jarvis Varnado,Forward,81,230,15
294,Juwan Howard,Forward,81,250,40
295,Elton Brand,Forward,81,254,34
296,Giannis Antetokounmpo,Forward,81,205,18
297,Chris Copeland,Forward,81,235,29
298,David West,Forward,81,240,33
299,Darnell Jackson,Forward,81,253,27
300,Luigi Datome,Forward,81,210,25
301,Tony Mitchell,Forward,81,236,21
302,Josh Smith,Forward,81,225,27
303,Tristan Thompson,Forward,81,227,22
304,Mike Dunleavy,Forward,81,230,33
305,Taj Gibson,Forward,81,225,28
306,Luol Deng,Forward,81,220,28
307,Carlos Boozer,Forward,81,266,31
308,Amir Johnson,Forward,81,237,26
309,Tyler Hansbrough,Forward,81,250,27
310,Furkan Aldemir,Forward,81,220,22
311,Kenyon Martin,Forward,81,240,35
312,C.J. Leslie,Forward,81,209,22
313,Andrei Kirilenko,Forward,81,235,32
314,Tornike Shengelia,Forward,81,217,21
315,Kris Humphries,Forward,81,235,28
316,Jeff Green,Forward,81,235,27
317,Jared Sullinger,Forward,81,260,21
318,Luc Mbah a Moute,Forward,80,230,27
319,Gerald Green,Forward,80,200,27
320,Elias Harris,Forward,80,239,24
321,Harrison Barnes,Forward,80,210,21
322,Gordon Hayward,Forward,80,207,23
323,Nicolas Batum,Forward,80,200,24
324,Dante Cunningham,Forward,80,230,26
325,Derrick Williams,Forward,80,241,22
326,Kenneth Faried,Forward,80,228,23
327,Wilson Chandler,Forward,80,225,26
328,Lance Thomas,Forward,80,225,25
329,Mike Miller,Forward,80,218,33
330,Tony Gaffney,Forward,80,205,28
331,Trevor Booker,Forward,80,240,25
332,Chris Singleton,Forward,80,230,23
333,Romero Osby,Forward,80,232,23
334,Moe Harkless,Forward,80,218,20
335,Tobias Harris,Forward,80,226,21
336,Udonis Haslem,Forward,80,235,33
337,Shane Battier,Forward,80,220,35
338,LeBron James,Forward,80,250,28
339,Eric Griffin,Forward,80,190,23
340,Anthony Tolliver,Forward,80,240,28
341,James Southerland,Forward,80,221,23
342,Mike Scott,Forward,80,237,25
343,DeMarre Carroll,Forward,80,212,27
344,Paul Millsap,Forward,80,253,28
345,Danny Granger,Forward,80,228,30
346,Paul George,Forward,80,210,23
347,Kyle Singler,Forward,80,230,25
348,Anthony Bennett,Forward,80,240,20
349,Luke Walton,Forward,80,235,33
350,Rudy Gay,Forward,80,230,27
351,Linas Kleiza,Forward,80,248,28
352,Chris Wright,Forward,80,218,24
353,Thaddeus Young,Forward,80,220,25
354,Royce White,Forward,80,260,22
355,Carmelo Anthony,Forward,80,230,29
356,Mirza Teletovic,Forward,80,235,28
357,Reggie Evans,Forward,80,245,33
358,Brandon Bass,Forward,80,250,28
359,Marcus Landry,Forward,79,230,27
360,Reggie Bullock,Forward,79,200,22
361,Matt Barnes,Forward,79,226,33
362,Jared Dudley,Forward,79,225,28
363,Draymond Green,Forward,79,230,23
364,Richard Jefferson,Forward,79,230,33
365,Richard Howell,Forward,79,250,22
366,Andre Roberson,Forward,79,206,21
367,Ryan Gomes,Forward,79,245,31
368,Mickael Gelabale,Forward,79,215,30
369,Jordan Hamilton,Forward,79,220,22
370,Damion James,Forward,79,220,25
371,Kawhi Leonard,Forward,79,225,22
372,Francisco Garcia,Forward,79,195,31
373,DeJuan Blair,Forward,79,270,24
374,Jae Crowder,Forward,79,240,23
375,Shawn Marion,Forward,79,228,35
376,Martell Webster,Forward,79,230,26
377,Jason Maxiell,Forward,79,260,30
378,Jeff Taylor,Forward,79,225,24
379,Michael Kidd-Gilchrist,Forward,79,232,19
380,Jeff Adrien,Forward,79,243,27
381,Khris Middleton,Forward,79,215,22
382,Caron Butler,Forward,79,228,33
383,Solomon Hill,Forward,79,220,22
384,Jimmy Butler,Forward,79,220,24
385,Tony Snell,Forward,79,200,21
386,Terrence Ross,Forward,79,197,22
387,Quincy Acy,Forward,79,233,22
388,Landry Fields,Forward,79,214,25
389,Arsalan Kazemi,Forward,79,226,23
390,Evan Turner,Forward,79,205,24
391,Metta World Peace,Forward,79,260,33
392,Paul Pierce,Forward,79,235,35
393,Gerald Wallace,Forward,79,220,31
394,Chuck Hayes,Forward,78,238,30
395,John Salmons,Forward,78,207,33
396,Xavier Henry,Forward,78,220,22
397,Andre Iguodala,Forward,78,207,29
398,Brandon Rush,Forward,78,210,28
399,E.J. Singler,Forward,78,215,23
400,Manu Ginobili,Forward,78,205,36
401,Deshaun Thomas,Forward,78,220,22
402,Quincy Pondexter,Forward,78,225,25
403,Vince Carter,Forward,78,220,36
404,Carlos Delfino,Forward,78,230,31
405,Sam Young,Forward,78,220,28
406,Corey Maggette,Forward,78,225,33
407,Alonzo Gee,Forward,78,219,26
408,Mickael Pietrus,Forward,78,215,31
409,Jerry Stackhouse,Forward,78,218,38
410,Alan Anderson,Forward,78,219,30
411,P.J. Tucker,Forward,77,225,28
412,Toure` Murry,Forward,77,200,23
413,Hasheem Thabeet,Center,87,263,26
414,Roy Hibbert,Center,86,278,26
415,Alex Len,Center,85,255,20
416,Rudy Gobert,Center,85,235,21
417,Meyers Leonard,Center,85,250,21
418,Timofey Mozgov,Center,85,250,27
419,Marc Gasol,Center,85,265,28
420,Spencer Hawes,Center,85,245,25
421,Tyson Chandler,Center,85,235,30
422,Viacheslav Kravtsov,Center,84,260,26
423,Robert Sacre,Center,84,263,24
424,Chris Kaman,Center,84,265,31
425,Ryan Hollins,Center,84,240,28
426,Byron Mullens,Center,84,275,24
427,Andrew Bogut,Center,84,260,28
428,Andris Biedrins,Center,84,240,27
429,Robin Lopez,Center,84,255,25
430,Steven Adams,Center,84,250,20
431,JaVale McGee,Center,84,252,25
432,Jeff Withey,Center,84,235,23
433,Kosta Koufos,Center,84,265,24
434,Omer Asik,Center,84,255,27
435,Fab Melo,Center,84,255,23
436,Greg Oden,Center,84,285,25
437,Justin Hamilton,Center,84,260,23
438,Brendan Haywood,Center,84,263,33
439,DeSagana Diop,Center,84,280,31
440,Johan Petro,Center,84,247,27
441,Miroslav Raduljica,Center,84,240,25
442,Tyler Zeller,Center,84,250,23
443,Andrew Bynum,Center,84,285,25
444,Aaron Gray,Center,84,270,28
445,Jonas Valanciunas,Center,84,257,21
446,Earl Barron,Center,84,250,32
447,Andrea Bargnani,Center,84,255,27
448,Brook Lopez,Center,84,265,25
449,Kelly Olynyk,Center,84,238,22
450,Colton Iverson,Center,84,255,24
451,Cole Aldrich,Center,83,245,24
452,DeMarcus Cousins,Center,83,270,23
453,Marcin Gortat,Center,83,240,29
454,DeAndre Jordan,Center,83,265,25
455,Festus Ezeli,Center,83,255,23
456,Jermaine O`Neal,Center,83,255,34
457,Enes Kanter,Center,83,267,21
458,Joel Freeland,Center,83,225,26
459,Chris Johnson,Center,83,210,28
460,Nikola Pekovic,Center,83,290,27
461,Gorgui Dieng,Center,83,245,23
462,Tiago Splitter,Center,83,240,28
463,Tim Duncan,Center,83,255,37
464,Greg Stiemsma,Center,83,260,27
465,Jordan Henriquez,Center,83,250,24
466,Marcus Camby,Center,83,235,39
467,Dwight Howard,Center,83,265,27
468,Samuel Dalembert,Center,83,250,32
469,Chris Bosh,Center,83,235,29
470,John Henson,Center,83,220,22
471,Zaza Pachulia,Center,83,275,29
472,Larry Sanders,Center,83,235,24
473,Ian Mahinmi,Center,83,230,26
474,Greg Monroe,Center,83,250,23
475,Anderson Varejao,Center,83,260,30
476,Joakim Noah,Center,83,232,28
477,Kwame Brown,Center,83,270,31
478,Andray Blatche,Center,83,260,27
479,Vitor Faverani,Center,83,260,25
480,Marreese Speights,Center,82,245,26
481,Daniel Orton,Center,82,255,23
482,Kendrick Perkins,Center,82,280,28
483,Ronny Turiaf,Center,82,245,30
484,Ed Davis,Center,82,228,24
485,Brandan Wright,Center,82,210,25
486,Bernard James,Center,82,240,28
487,Emeka Okafor,Center,82,255,30
488,Nikola Vucevic,Center,82,240,22
489,Chris Andersen,Center,82,228,35
490,Al Jefferson,Center,82,280,28
491,Ekpe Udoh,Center,82,240,26
492,Josh Harrellson,Center,82,275,24
493,Andre Drummond,Center,82,270,20
494,Nazr Mohammed,Center,82,250,36
495,Nerlens Noel,Center,82,228,19
496,Mason Plumlee,Center,82,235,23
497,Chris Wilcox,Center,82,235,31
498,Darrell Arthur,Center,81,235,25
499,Kevin Seraphin,Center,81,275,23
500,Joel Anthony,Center,81,245,31
501,Bismack Biyombo,Center,81,229,21
502,Luis Scola,Center,81,245,33
503,Lavoy Allen,Center,81,225,24
504,Boris Diaw,Center,80,235,31
